mots	semgram	lemfreq	surfreq	répartition
jeu		42		21
mur		42		21
visiter		42		21
cousin		42		20
vue		42		19
bateau		42		14
car	(nom.)	42		13
agir		41		30
pousser		41		28
agréable		41		27
ailleurs		41		26
rare		41		26
reste		41		26
eh ben		41		23
élève		41		21
lettre		41		21
province		41		17
été	(saison)	40		31
terrible		40		30
qui	(interrogatif)	40		29
débrouiller		40		29
voisin	(nom. et adj.)	40		22
neuf	(adj.)	40		20
vitesse		40		19
camp		40		13
course		40		8
début		39		31
enregistrer		39		29
sujet		39		28
avis		39		23
salle		39		23
face		39		22
machin		39		20
plan		39		15
tard		38		33
arranger		38		31
reconnaître		38		29
téléphoner		38		21
facile		38		20
paysan	(nom. et adj.)	38		11
sérieux		37		29
exister		37		27
ancien		37		25
contre		37		24
celui-là		37		22
esprit		37		22
morceau		37		22
fenêtre		37		21
radio	(T.S.F.)	37		17
réparer		37		17
million		37		16
avion		37		9
bras		36		26
jeune fille		36		26
chance		36		22
différence		36		22
gêner		36		22
ménage		36		22
sembler		36		22
revoir		36		21
rouge		36		19
sauver		36		19
second		36		19
grave		36		18
tissu		36		8
juste	(nom. et adj.)	35		28
malgré		35		28
doute		35		25
fermer		35		24
finalement		35		23
fort	(adv.)	35		23
laver		35		22
préférer		35		22
langue		35		21
terrain		35		21
nouvelle	(nom.)	35		20
offrir		35		20
oeuf		35		19
problème		35		19
qualité		35		18
verre		35		15
poste	(masc.)	35		17
bref	(interjection)	35		13
chaussure		35		12
curé		35		11
vélo		35		10
colonie		35		7
entendu		34		19
remplacer		34		19
chauffage		34		10
genou		34		7
contraire		33		29
ainsi		33		26
magnifique		33		24
charger		33		23
important		33		23
plat	(adj. et nom)	33		22
mouvement		33		21
remonter		33		21
sauter		33		21
marché		33		20
mer		33		19
champ		33		18
couleur		33		18
employer		33		18
ouvrier		33		17
article		33		16
soirée		33		16
faim		33		15
restaurant		33		14
armée		33		13
bouquin .		33		11
huile		33		8
robe		33		8
envie		32		26
bord		32		25
recommencer		32		22
uniquement		32		22
départ		32		20
ramener		32		20
rapport		32		20
repartir		32		20
actuellement		32		19
carte		32		16
jambe		32		16
sac		32		16
demain		32		15
groupe		32		12
scène		32		12
camion		32		10
poussière		32		6
tranquille		31		27
placer		31		25
impossible		31		23
parfait		31		22
excellent		31		21
malheureux		31		21
étonner		31		20
non plus		31		18
pain		31		17
celle-là		31		16
Pâques		31		16
sympathique		31		16
bâtiment		31		15
culture		31		14
opération		31		14
brûler	(et se brûler)	31		13
suédois		31		4
à cause de		30		26
promener		30		24
décider		30		23
pardon		30		23
casser		30		22
soigner		30		22
environ		30		21
clair		30		20
discuter		30		20
forme		30		20
résultat		30		20
connaissance		30		19
bleu	(couleur)	30		18
là-haut		30		18
construire		30		17
louer	(location)	30		16
lycée		30		16
que	(exclamatif)	30		16
moteur		30		13
peinture		30		12
bête	(nom.)	30		11
frontière		30		10
empêcher		29		26
heureusement		29		23
nombre		29		23
oser		29		23
force		29		21
ordre		29		21
représenter		29		21
pleurer		29		20
autrefois		29		18
étage		29		18
valeur		29		18
vert		29		18
bonjour		29		17
chemin		29		16
accent		29		14
leçon		29		14
parisien		29		14
pleuvoir		29		14
concours	(compétition)	29		12
téléphone		29		11
chant		29		6
suceuse	(nom d'appareil)	29		2
principe		28		23
maître		28		22
suffire		28		22
là-dessus		28		21
époque		28		19
moitié		28		19
exact		28		18
pénible		28		18
prévoir		28		18
alors que		28		16
social		28		16
bête	(adj.)	28		15
hôpital		28		15
mort	(concret)	28		15
bouteille		28		14
gaz		28		14
billet		28		12
commune		28		8
speaker		28		1
sûrement		27		25
directement		27		22
durer		27		22
quelque		27		22
étranger		27		21
fameux		27		21
lequel		27		20
organiser		27		20
remercier		27		18
mort	(nom féminin)	27		18
riche		27		19
amusant		27		17
arbre		27		17
dépenser		27		17
engager		27		17
généralement		27		17
lait		27		17
mesure		27		17
naturel		27		17
auto		27		16
intelligent		27		16
supérieur		27		15
trou		27		14
voici		27		14
note		27		13
national		27		12
opéra		27		12
crédit		27		6
imaginer		26		22
lancer		26		22
qu'est-ce qui		27		21
véritable		26		21
beau-frère		26		19
nez		26		19
souvenir	(nom.)	26		19
dessous	(adv.)	26		18
libre		26		18
d'après		26		17
blague	(plaisanterie)	26		17
entrée		26		17
triste		26		17
côte		26		16
courant	(nom.)	26		16
électrique		26		16
saison		26		16
cour	(espace clos)	26		15
soleil		26		15
bonhomme		26		14
cheveu		26		14
naître		26		14
profiter		26		14
propriétaire		26		14
retraite		26		14
bouger		26		13
danser		26		11
soldat		26		10
décembre		26		8
infirmier		26		8
texte		26		8
parole		25		21
tant que		25		19
choisir		25		18
pratique		25		18
courir		25		17
habiller		25		17
métro		25		17
parfaitement		25		17
l'un		25		17
avenue		25		16
rouler		25		16
treize		25		15
souffrir		25		14
équipe		25		13
noël		25		13
mariage		25		12
que	(indéterminé)	25		12
sou		25		11
allemand		25		10
artiste		25		10
poisson		25		10
image		25		8
plaindre		24		21
dos		24		19
foie		24		19
prévenir		24		19
bruit		24		18
occasion		24		18
refaire		24		18
seize		24		18
attraper		24		17
battre		24		17
tout d'un coup		24		17
déjeuner	(nom.)	24		16
causer		24		15
correspondre		24		15
couvrir		24		15
étudiant	(nom.)	24		15
élever		24		13
estimer		24		13
gauche		24		13
technique		24		13
usine		24		13
août		24		12
roman		24		12
pêche	(action de pêcher)	24		11
gorge		24		10
oncle		24		10
poule		24		8
derrière		24		7
canard		24		6
personnage		24		6
capable		23		21
travers		23		20
hasard		23		19
soi		23		19
ci		23		18
ordinaire		23		18
suivant		23		17
conversation		23		16
escalier		23		16
